City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_Temp,Wind_Speed
0,Henties Bay,43,NA,1593394586,76,-22.12,14.28,55.83,3.98
1,Bethel,20,US,1593394586,94,41.37,-73.41,70.0,0.72
2,Saint-François,90,FR,1593394586,82,46.42,3.91,60.8,2.24
3,Ushuaia,40,AR,1593394436,69,-54.8,-68.3,35.6,10.29
4,Mar del Plata,96,AR,1593394343,93,-38.0,-57.56,48.0,5.53
5,Kruisfontein,0,ZA,1593394587,80,-34.0,24.73,49.28,10.74
6,Brønnøysund,63,NO,1593394588,52,65.46,12.2,68.0,12.75
7,Yumen,0,CN,1593394588,22,40.28,97.2,80.67,13.6
8,Albany,0,US,1593394503,91,42.6,-73.97,69.01,7.56
9,Dikson,99,RU,1593394588,99,73.51,80.55,42.84,22.03
10,Ossora,76,RU,1593394589,61,59.24,163.07,59.23,9.01
11,Vaini,75,TO,1593394589,88,-21.2,-175.2,78.8,9.17
12,Castro,21,BR,1593394589,97,-24.79,-50.01,48.2,8.14
13,Vanimo,92,PG,1593394589,66,-2.67,141.3,85.53,4.92
14,San Cristobal,100,VE,1593394590,85,7.77,-72.22,65.64,2.71
15,Ulladulla,40,AU,1593394590,71,-35.35,150.47,57.99,1.12
16,‘Ewa Beach,1,US,1593394590,62,21.32,-158.01,87.8,14.99
17,Bluff,96,NZ,1593394590,81,-46.6,168.33,48.65,14.85
18,Departamento de Maldonado,75,UY,1593394591,93,-34.67,-54.92,46.4,5.82
19,Mataura,97,NZ,1593394591,89,-46.19,168.86,46.4,4.34
20,Jamestown,1,US,1593394438,73,42.1,-79.24,69.8,4.7
21,Geraldton,75,AU,1593394591,77,-28.77,114.6,64.4,19.46
22,Punta Arenas,46,CL,1593394592,92,-53.15,-70.92,28.0,5.82
23,Mitú,76,CO,1593394592,98,1.2,-70.17,71.62,2.35
24,Turan,20,VN,1593394350,52,16.07,108.22,93.2,1.81
25,Bredasdorp,7,ZA,1593394592,76,-34.53,20.04,55.4,14.99
26,Port Alfred,12,ZA,1593394592,64,-33.59,26.89,57.99,5.99
27,Busselton,73,AU,1593394593,89,-33.65,115.33,57.0,25.66
28,Qaanaaq,0,GL,1593394593,65,77.48,-69.36,41.67,2.3
29,Sitka,90,US,1593394593,81,57.05,-135.33,53.6,11.41
30,Rikitea,31,PF,1593394593,55,-23.12,-134.97,68.54,17.96
31,Yuma,1,US,1593394343,16,32.73,-114.62,100.4,16.11
32,Luanda,40,AO,1593394536,88,-8.84,13.23,69.8,2.24
33,Saint-Philippe,20,RE,1593394594,72,-21.36,55.77,68.0,6.93
34,Atuona,3,PF,1593394594,76,-9.8,-139.03,80.44,14.05
35,Te Anau,44,NZ,1593394594,77,-45.42,167.72,45.7,3.09
36,Marrakesh,0,MA,1593394416,60,31.63,-8.01,75.2,5.82
37,Mbaïki,100,CF,1593394594,98,3.87,17.99,69.71,1.21
38,Makakilo City,1,US,1593394594,62,21.35,-158.09,87.8,14.99
39,East London,0,ZA,1593394594,58,-33.02,27.91,58.73,16.62
40,Cherskiy,18,RU,1593394594,56,68.75,161.3,49.05,17.85
41,Lyman,94,UA,1593394595,85,48.99,37.8,65.25,6.91
42,Saskylakh,4,RU,1593394595,27,71.92,114.08,87.58,10.38
43,Yellowknife,20,CA,1593394591,32,62.46,-114.35,69.8,12.75
44,Chui,49,UY,1593394595,85,-33.7,-53.46,46.27,3.42
45,New Norfolk,3,AU,1593394595,86,-42.78,147.06,48.0,2.21
46,Broken Hill,0,AU,1593394595,66,-31.95,141.43,50.0,6.93
47,Ribas do Rio Pardo,16,BR,1593394595,94,-20.44,-53.76,63.99,5.37
48,Ancud,90,CL,1593394595,93,-41.87,-73.82,46.0,3.36
49,Vanavara,0,RU,1593394596,41,60.34,102.28,80.06,3.38
50,Coquimbo,90,CL,1593394495,93,-29.95,-71.34,53.6,3.36
51,São Filipe,2,CV,1593394596,79,14.9,-24.5,75.43,11.41
52,Saint Paul Harbor,90,US,1593394596,87,57.79,-152.41,51.8,8.05
53,Yurkivka,40,UA,1593394596,93,49.01,31.1,63.37,7.49
54,Guymon,1,US,1593394383,18,36.68,-101.48,93.2,20.8
55,Inhambane,4,MZ,1593394596,79,-23.86,35.38,70.41,15.46
56,Thompson,90,CA,1593394596,87,55.74,-97.86,55.4,10.29
57,Ponta do Sol,20,PT,1593394596,77,32.67,-17.1,69.8,13.87
58,Richards Bay,38,ZA,1593394597,67,-28.78,32.04,61.54,5.77
59,Hermanus,76,ZA,1593394597,85,-34.42,19.23,55.0,4.0
60,Russell,90,US,1593394597,83,32.35,-85.2,78.01,4.7
61,Angren,0,UZ,1593394597,26,41.02,70.14,66.88,6.69
62,Hithadhoo,13,MV,1593394597,71,-0.6,73.08,84.56,7.85
63,Nikolskoye,0,RU,1593394597,62,59.7,30.79,57.2,8.95
64,Port Hardy,20,CA,1593394340,63,50.7,-127.42,66.2,12.75
65,Hilo,40,US,1593394598,62,19.73,-155.09,84.2,11.41
66,Shar,0,KZ,1593394598,33,49.59,81.05,66.99,12.95
67,Goma,98,CD,1593394598,77,-1.68,29.22,61.45,3.33
68,Pizarro,100,CO,1593394598,82,4.95,-77.37,77.49,3.11
69,Faanui,100,PF,1593394598,78,-16.48,-151.75,76.01,24.2
70,Hobart,20,AU,1593394426,71,-42.88,147.33,50.0,10.29
71,Road Town,1,VG,1593394599,78,18.42,-64.62,82.4,10.29
72,Lebu,50,CL,1593394599,90,-37.62,-73.65,51.42,12.08
73,Amapá,100,BR,1593394599,98,1.0,-52.0,72.19,1.88
74,Barrow,1,US,1593394599,70,71.29,-156.79,48.2,13.87
75,Cape Town,75,ZA,1593394482,93,-33.93,18.42,55.99,10.29
76,Darhan,3,MN,1593394600,52,49.49,105.92,73.8,11.03
77,Victor Harbor,0,AU,1593394600,80,-35.57,138.62,51.01,10.11
78,Havre-St-Pierre,90,CA,1593394600,87,50.23,-63.6,57.2,11.41
79,The Valley,20,AI,1593394600,74,18.22,-63.06,84.2,9.17
80,Verkhnyaya Inta,100,RU,1593394601,93,65.98,60.31,40.75,9.15
81,Beringovskiy,76,RU,1593394602,69,63.05,179.32,42.01,9.28
82,Skjervøy,6,NO,1593394602,85,70.03,20.97,45.84,7.05
83,Kalmunai,98,LK,1593394602,68,7.42,81.82,83.35,3.49
84,Westport,29,US,1593394439,97,41.14,-73.36,71.01,0.45
85,Oudtshoorn,0,ZA,1593394602,76,-33.59,22.2,51.8,8.05
86,Grand Gaube,20,MU,1593394603,87,-20.01,57.66,69.01,5.01
87,La Ronge,75,CA,1593394603,72,55.1,-105.28,66.2,11.41
88,Terråk,97,NO,1593394603,52,65.09,12.37,68.0,12.75
89,Bonthe,100,SL,1593394603,88,7.53,-12.51,77.07,7.65
90,Bengkulu,0,ID,1593394603,71,-3.8,102.27,82.51,4.65
91,Necochea,63,AR,1593394332,94,-38.55,-58.74,39.0,1.99
92,Chokurdakh,100,RU,1593394604,48,70.63,147.92,60.17,3.98
93,Itarema,1,BR,1593394604,83,-2.92,-39.92,78.26,12.33
94,Pacifica,20,US,1593394604,55,37.61,-122.49,64.4,33.33
95,Isangel,90,VU,1593394444,78,-19.55,169.27,73.4,5.82
96,Esperance,40,AU,1593394495,76,-33.87,121.9,55.4,18.34
97,Port-Gentil,99,GA,1593394605,82,-0.72,8.78,73.45,10.6
98,Lompoc,3,US,1593394558,67,34.64,-120.46,62.6,13.87
99,Bontang,100,ID,1593394605,77,0.13,117.5,78.3,1.92
100,Mahébourg,3,MU,1593394605,87,-20.41,57.7,69.01,5.01
101,Lavrentiya,38,RU,1593394605,71,65.58,-171.0,41.97,14.34
102,Coyhaique,90,CL,1593394605,95,-45.58,-72.07,32.0,4.7
103,Breves,99,BR,1593394606,95,-1.68,-50.48,73.92,3.22
104,Tuatapere,100,NZ,1593394606,83,-46.13,167.68,47.64,11.36
105,Ajdabiya,0,LY,1593394606,66,30.76,20.23,69.44,6.58
106,St-Jean-Port-Joli,100,CA,1593394606,96,47.22,-70.27,57.99,17.69
107,Vila Franca do Campo,75,PT,1593394606,93,37.72,-25.43,66.2,4.7
108,Kiryat Gat,3,IL,1593394607,85,31.61,34.76,73.0,4.9
109,Katsuura,75,JP,1593394607,73,35.13,140.3,80.01,6.93
110,Konongo,100,GH,1593394607,97,6.62,-1.22,71.13,3.67
111,Kaitangata,81,NZ,1593394607,70,-46.28,169.85,51.01,15.01
112,Tommot,45,RU,1593394607,37,58.96,126.29,81.86,3.38
113,Wanning,11,CN,1593394608,68,18.8,110.4,87.12,7.99
114,Ribeira Grande,7,PT,1593394608,93,38.52,-28.7,67.37,5.55
